id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,feature drift,110,57,25,23,550,ship,baseline,monotonic-signal
g002,window width,77,72,38,30,436,ship,edge,drag-penalty
g003,metric stability,64,47,4,82,506,ship,recovery,confidence-floor
g004,explainability,105,37,31,69,570,ship,negative,lane-boundary
g005,feature drift,41,70,4,24,344,ship,baseline,monotonic-signal
g006,window width,56,19,13,49,334,ship,edge,drag-penalty
g007,metric stability,67,31,19,23,338,ship,recovery,confidence-floor
g008,explainability,32,74,44,100,388,ship,negative,lane-boundary
g009,feature drift,62,28,37,57,344,ship,baseline,monotonic-signal
g010,window width,81,43,14,40,462,ship,edge,drag-penalty
g011,metric stability,50,18,4,36,300,ship,recovery,confidence-floor
g012,explainability,38,43,22,39,272,ship,negative,lane-boundary
g013,feature drift,35,23,28,88,306,ship,baseline,monotonic-signal
g014,window width,81,50,37,74,498,ship,edge,drag-penalty
g015,metric stability,64,31,22,71,416,ship,recovery,confidence-floor
g016,explainability,59,24,37,31,272,ship,negative,lane-boundary
g017,feature drift,60,58,25,102,510,ship,baseline,monotonic-signal
g018,window width,108,8,20,99,606,ship,edge,drag-penalty
g019,metric stability,91,20,19,102,570,ship,recovery,confidence-floor
g020,explainability,86,64,20,22,476,ship,negative,lane-boundary
g021,feature drift,87,53,22,29,468,ship,baseline,monotonic-signal
g022,window width,91,50,25,81,576,ship,edge,drag-penalty
g023,metric stability,53,51,28,68,394,ship,recovery,confidence-floor
g024,explainability,37,54,10,23,282,ship,negative,lane-boundary
g025,feature drift,77,32,23,48,422,ship,baseline,monotonic-signal
g026,window width,100,15,31,22,412,ship,edge,drag-penalty
g027,metric stability,115,44,16,99,714,ship,recovery,confidence-floor
g028,explainability,82,61,31,56,500,ship,negative,lane-boundary
g029,feature drift,113,37,40,39,524,ship,baseline,monotonic-signal
g030,window width,88,62,4,35,538,ship,edge,drag-penalty
g031,metric stability,35,77,29,38,312,ship,recovery,confidence-floor
g032,explainability,63,52,22,87,486,ship,negative,lane-boundary
g033,feature drift,30,42,41,73,268,ship,baseline,monotonic-signal
g034,window width,105,75,31,70,648,ship,edge,drag-penalty
g035,metric stability,58,24,7,30,326,ship,recovery,confidence-floor
g036,explainability,82,36,13,101,576,ship,negative,lane-boundary
g037,feature drift,97,9,22,98,558,ship,baseline,monotonic-signal
g038,window width,108,33,7,101,686,ship,edge,drag-penalty
g039,metric stability,73,48,22,21,386,ship,recovery,confidence-floor
g040,explainability,103,23,10,28,494,ship,negative,lane-boundary
g041,feature drift,34,48,5,80,382,ship,baseline,monotonic-signal
g042,window width,91,28,4,67,546,ship,edge,drag-penalty
g043,metric stability,79,55,5,22,460,ship,recovery,confidence-floor
g044,explainability,76,36,7,47,456,ship,negative,lane-boundary
g045,feature drift,34,29,10,21,216,ship,baseline,monotonic-signal
g046,window width,105,63,13,98,716,ship,edge,drag-penalty
g047,metric stability,100,13,37,55,462,ship,recovery,confidence-floor
g048,explainability,101,25,8,38,514,ship,negative,lane-boundary
g049,feature drift,61,69,16,34,418,ship,baseline,monotonic-signal
g050,window width,44,58,43,37,280,ship,edge,drag-penalty
g051,metric stability,39,55,16,86,406,ship,recovery,confidence-floor
g052,explainability,40,56,25,72,366,ship,negative,lane-boundary
g053,feature drift,44,59,31,69,370,ship,baseline,monotonic-signal
g054,window width,94,37,14,29,480,ship,edge,drag-penalty
g055,metric stability,78,20,7,100,538,ship,recovery,confidence-floor
g056,explainability,30,49,26,97,360,ship,negative,lane-boundary
g057,feature drift,53,66,16,100,512,ship,baseline,monotonic-signal
g058,window width,68,42,34,20,328,ship,edge,drag-penalty
g059,metric stability,35,67,40,27,248,ship,recovery,confidence-floor
g060,explainability,66,12,7,79,432,ship,negative,lane-boundary
g061,feature drift,41,57,34,66,342,ship,baseline,monotonic-signal
g062,window width,76,47,7,21,426,ship,edge,drag-penalty
g063,metric stability,104,10,37,46,454,ship,recovery,confidence-floor
g064,explainability,71,29,32,20,318,ship,negative,lane-boundary
g065,feature drift,58,41,31,97,446,ship,baseline,monotonic-signal
g066,window width,99,14,32,54,468,ship,edge,drag-penalty
g067,metric stability,35,38,34,37,222,ship,recovery,confidence-floor
g068,explainability,50,53,37,33,298,ship,negative,lane-boundary
g069,feature drift,61,28,40,36,292,ship,baseline,monotonic-signal
g070,window width,114,53,22,85,688,ship,edge,drag-penalty
g071,metric stability,56,33,35,71,362,ship,recovery,confidence-floor
g072,explainability,75,60,43,68,470,ship,negative,lane-boundary
g073,feature drift,44,41,28,28,258,ship,baseline,monotonic-signal
g074,window width,32,34,43,99,308,ship,edge,drag-penalty
g075,metric stability,117,68,10,96,776,ship,recovery,confidence-floor
g076,explainability,75,18,16,99,502,ship,negative,lane-boundary
g077,feature drift,58,30,41,105,420,ship,baseline,monotonic-signal
g078,window width,53,74,34,26,344,ship,edge,drag-penalty
g079,metric stability,54,63,11,78,476,ship,recovery,confidence-floor
g080,explainability,102,60,43,65,572,ship,negative,lane-boundary
g081,feature drift,85,61,19,20,464,ship,baseline,monotonic-signal
g082,window width,80,64,25,45,488,ship,edge,drag-penalty
g083,metric stability,81,42,34,105,550,ship,recovery,confidence-floor
g084,explainability,85,25,19,96,544,ship,negative,lane-boundary
g085,feature drift,47,54,34,53,334,ship,baseline,monotonic-signal
g086,window width,31,71,22,36,294,ship,edge,drag-penalty
g087,metric stability,71,47,17,32,408,ship,recovery,confidence-floor
g088,explainability,94,72,16,35,558,ship,negative,lane-boundary
g089,feature drift,109,17,17,84,604,ship,baseline,monotonic-signal
